,Seed,team1,team2,team1_win,Season,win_loss_pct_x,srs_x,pace_x,off_rtg_x,fta_per_fga_pct_x,fg3a_per_fga_pct_x,ts_pct_x,trb_pct_x,ast_pct_x,stl_pct_x,blk_pct_x,efg_pct_x,tov_pct_x,orb_pct_x,ft_rate_x,win_loss_pct_y,srs_y,pace_y,off_rtg_y,fta_per_fga_pct_y,fg3a_per_fga_pct_y,ts_pct_y,trb_pct_y,ast_pct_y,stl_pct_y,blk_pct_y,efg_pct_y,tov_pct_y,orb_pct_y,ft_rate_y
59,2,Tennessee,Purdue,0,2024,0.75,21.81,70.3,112.1,0.337,0.412,0.55,52.4,61.3,11.1,13.5,0.511,12.5,32.2,0.253,0.872,24.93,68.3,119.5,0.413,0.347,0.591,58.0,64.9,7.9,9.3,0.558,14.0,37.7,0.297
60,1,Houston,Longwood,1,2024,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211,,,,,,,,,,,,,,,
61,16,Longwood,Houston,0,2024,,,,,,,,,,,,,,,,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211
62,9,Texas A&M,Nebraska,1,2024,0.583,13.35,67.8,111.4,0.386,0.377,0.502,56.0,44.5,10.2,9.4,0.457,11.3,42.3,0.273,,,,,,,,,,,,,,,
63,8,Nebraska,Texas A&M,0,2024,,,,,,,,,,,,,,,,0.583,13.35,67.8,111.4,0.386,0.377,0.502,56.0,44.5,10.2,9.4,0.457,11.3,42.3,0.273
64,12,James Madison,Wisconsin,1,2024,,,,,,,,,,,,,,,,0.611,16.01,66.0,112.0,0.338,0.355,0.56,52.4,48.1,9.3,4.6,0.522,13.0,30.2,0.255
65,5,Wisconsin,James Madison,0,2024,0.611,16.01,66.0,112.0,0.338,0.355,0.56,52.4,48.1,9.3,4.6,0.522,13.0,30.2,0.255,,,,,,,,,,,,,,,
66,4,Duke,Vermont,1,2024,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248,,,,,,,,,,,,,,,
67,13,Vermont,Duke,0,2024,,,,,,,,,,,,,,,,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248
68,11,NC State,Texas Tech,1,2024,,,,,,,,,,,,,,,,0.676,14.96,67.2,111.7,0.342,0.414,0.567,50.9,57.1,8.9,7.0,0.526,14.3,30.3,0.267
69,6,Texas Tech,NC State,0,2024,0.676,14.96,67.2,111.7,0.342,0.414,0.567,50.9,57.1,8.9,7.0,0.526,14.3,30.3,0.267,,,,,,,,,,,,,,,
70,14,Oakland,Kentucky,1,2024,,,,,,,,,,,,,,,,0.697,16.79,73.9,119.2,0.304,0.375,0.602,50.5,54.9,10.1,16.2,0.572,12.6,28.9,0.235
71,3,Kentucky,Oakland,0,2024,0.697,16.79,73.9,119.2,0.304,0.375,0.602,50.5,54.9,10.1,16.2,0.572,12.6,28.9,0.235,,,,,,,,,,,,,,,
72,10,Colorado,Florida,1,2024,,,,,,,,,,,,,,,,0.667,15.17,73.1,115.1,0.384,0.345,0.554,54.1,50.7,9.0,12.1,0.518,13.1,37.3,0.275
73,7,Florida,Colorado,0,2024,0.667,15.17,73.1,115.1,0.384,0.345,0.554,54.1,50.7,9.0,12.1,0.518,13.1,37.3,0.275,,,,,,,,,,,,,,,
74,2,Marquette,Western Kentucky,1,2024,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18,,,,,,,,,,,,,,,
75,15,Western Kentucky,Marquette,0,2024,,,,,,,,,,,,,,,,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18
76,1,Houston,Texas A&M,1,2024,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211,0.583,13.35,67.8,111.4,0.386,0.377,0.502,56.0,44.5,10.2,9.4,0.457,11.3,42.3,0.273
77,9,Texas A&M,Houston,0,2024,0.583,13.35,67.8,111.4,0.386,0.377,0.502,56.0,44.5,10.2,9.4,0.457,11.3,42.3,0.273,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211
78,4,Duke,James Madison,1,2024,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248,,,,,,,,,,,,,,,
79,12,James Madison,Duke,0,2024,,,,,,,,,,,,,,,,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248
80,11,NC State,Oakland,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,14,Oakland,NC State,0,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2,Marquette,Colorado,1,2024,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18,,,,,,,,,,,,,,,
83,10,Colorado,Marquette,0,2024,,,,,,,,,,,,,,,,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18
84,4,Duke,Houston,1,2024,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211
85,1,Houston,Duke,0,2024,0.865,25.69,64.1,113.6,0.308,0.368,0.531,52.3,49.3,15.1,16.0,0.503,11.4,36.8,0.211,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248
86,11,NC State,Marquette,1,2024,,,,,,,,,,,,,,,,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18
87,2,Marquette,NC State,0,2024,0.73,19.27,69.4,112.0,0.255,0.411,0.571,47.8,54.5,12.3,10.6,0.55,12.7,25.7,0.18,,,,,,,,,,,,,,,
88,11,NC State,Duke,1,2024,,,,,,,,,,,,,,,,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248
89,4,Duke,NC State,0,2024,0.75,20.67,67.1,117.1,0.343,0.375,0.576,53.7,54.9,9.7,9.8,0.546,12.4,32.1,0.248,,,,,,,,,,,,,,,
90,1,UNC,Wagner,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,16,Wagner,UNC,0,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,9,Michigan State,Mississippi State,1,2024,0.571,17.72,66.4,109.4,0.293,0.304,0.544,50.8,58.8,10.6,11.7,0.516,13.0,29.8,0.207,0.6,14.19,68.7,107.5,0.374,0.385,0.543,53.9,53.5,11.8,9.0,0.514,16.0,35.4,0.251
93,8,Mississippi State,Michigan State,0,2024,0.6,14.19,68.7,107.5,0.374,0.385,0.543,53.9,53.5,11.8,9.0,0.514,16.0,35.4,0.251,0.571,17.72,66.4,109.4,0.293,0.304,0.544,50.8,58.8,10.6,11.7,0.516,13.0,29.8,0.207
94,12,Grand Canyon,Saint Mary's,1,2024,0.857,10.45,69.8,112.9,0.45,0.363,0.568,53.1,45.9,11.8,14.3,0.521,15.0,34.4,0.337,0.765,16.31,63.8,115.2,0.285,0.365,0.552,58.8,58.8,10.2,10.3,0.531,13.2,39.4,0.192
95,5,Saint Mary's,Grand Canyon,0,2024,0.765,16.31,63.8,115.2,0.285,0.365,0.552,58.8,58.8,10.2,10.3,0.531,13.2,39.4,0.192,0.857,10.45,69.8,112.9,0.45,0.363,0.568,53.1,45.9,11.8,14.3,0.521,15.0,34.4,0.337
96,4,Alabama,College of Charleston,1,2024,0.676,20.69,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11.0,0.563,13.6,35.0,0.273,,,,,,,,,,,,,,,
97,13,College of Charleston,Alabama,0,2024,,,,,,,,,,,,,,,,0.676,20.69,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11.0,0.563,13.6,35.0,0.273
98,6,Clemson,New Mexico,1,2024,0.667,16.2,67.8,113.4,0.307,0.399,0.575,51.6,53.8,6.7,10.9,0.539,13.0,27.2,0.24,0.722,15.04,72.5,111.7,0.331,0.303,0.538,52.8,49.1,12.0,13.2,0.505,11.7,33.4,0.234
99,11,New Mexico,Clemson,0,2024,0.722,15.04,72.5,111.7,0.331,0.303,0.538,52.8,49.1,12.0,13.2,0.505,11.7,33.4,0.234,0.667,16.2,67.8,113.4,0.307,0.399,0.575,51.6,53.8,6.7,10.9,0.539,13.0,27.2,0.24
100,3,Baylor,Colgate,1,2024,0.686,19.5,66.8,117.8,0.395,0.386,0.592,54.6,53.2,9.9,8.6,0.558,15.0,35.8,0.289,,,,,,,,,,,,,,,
101,14,Colgate,Baylor,0,2024,,,,,,,,,,,,,,,,0.686,19.5,66.8,117.8,0.395,0.386,0.592,54.6,53.2,9.9,8.6,0.558,15.0,35.8,0.289
102,7,Dayton,Nevada,1,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,10,Nevada,Dayton,0,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2,Arizona,Long Beach State,1,2024,0.75,24.54,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261,,,,,,,,,,,,,,,
105,15,Long Beach State,Arizona,0,2024,,,,,,,,,,,,,,,,0.75,24.54,73.3,116.8,0.364,0.334,0.576,56.6,59.2,11.2,9.5,0.545,13.6,35.6,0.261
106,1,UNC,Michigan State,1,2024,,,,,,,,,,,,,,,,0.571,17.72,66.4,109.4,0.293,0.304,0.544,50.8,58.8,10.6,11.7,0.516,13.0,29.8,0.207
107,9,Michigan State,UNC,0,2024,0.571,17.72,66.4,109.4,0.293,0.304,0.544,50.8,58.8,10.6,11.7,0.516,13.0,29.8,0.207,,,,,,,,,,,,,,,
108,4,Alabama,Grand Canyon,1,2024,0.676,20.69,73.9,121.1,0.353,0.465,0.599,52.6,51.7,9.3,11.0,0.563,13.6,35.0,0.273,0.857,10.45,69.8,112.9,0.45,0.363,0.568,53.1,45.9,11.8,14.3,0.521,15.0,34.4,0.337
